objective,context_level,holdout_session,workload,size,selected_platform,selected_value,oracle_value,regret_pct
edp,L1,3,REDUCTION,64000000,3090,3.013640378525834e-05,3.013640378525834e-05,0.0
edp,L1,3,REDUCTION,128000000,3090,0.00011911742426590635,0.00011911742426590635,0.0
edp,L1,3,REDUCTION,256000000,3090,0.00047341211063243495,0.00047341211063243495,0.0
edp,L1,3,STREAM,1000000,3090,8.189834674817439e-08,9.658311566724401e-09,747.957183637948
edp,L1,3,STREAM,2000000,3090,3.440366638842205e-07,3.1114843469929694e-08,1005.699484609999
edp,L1,3,STREAM,4000000,3090,1.2604459865522324e-06,9.953849820742517e-07,26.628993731212258
edp,L1,3,STREAM,8000000,3090,4.77129052457679e-06,4.77129052457679e-06,0.0
edp,L1,3,STREAM,16000000,3090,1.86020048914739e-05,1.86020048914739e-05,0.0
edp,L1,3,STREAM,32000000,3090,7.35303107590801e-05,7.35303107590801e-05,0.0
edp,L1,3,STREAM,64000000,3090,0.0002921000196105803,0.0002921000196105803,0.0
edp,L1,3,STREAM,128000000,3090,0.0011546890956053667,0.0011546890956053667,0.0
edp,L1,3,STREAM,256000000,3090,0.004604439428091058,0.004604439428091058,0.0
edp,L1,3,STRIDED_GEMM,64,3090,4.859665954730526e-09,3.237613049447247e-09,50.10027080167008
edp,L1,3,STRIDED_GEMM,128,3090,5.254947561097379e-09,4.1285733098116655e-09,27.28240887981461
edp,L1,3,STRIDED_GEMM,256,3090,1.5793902250375102e-08,1.5793902250375102e-08,0.0
edp,L1,3,STRIDED_GEMM,512,3090,1.7394991964630863e-07,1.7394991964630863e-07,0.0
edp,L1,3,STRIDED_GEMM,1024,3090,5.039506289485348e-06,5.039506289485348e-06,0.0
edp,L1,3,STRIDED_GEMM,2048,3090,0.00019715618085984927,0.00019715618085984927,0.0
edp,L1,3,STRIDED_GEMM,4096,3090,0.010086198379814693,0.010086198379814693,0.0
edp,L1,3,STRIDED_GEMM,8192,3090,0.5672881434609375,0.5672881434609375,0.0
edp,L1,3,STRIDED_GEMM,16384,3090,37.21716666729688,37.21716666729688,0.0
edp,L1,4,AXPY,1000000,3090,5.589749684055662e-08,8.783485184422363e-09,536.39313628822
edp,L1,4,AXPY,2000000,3090,3.427257856993314e-07,2.87020907119081e-08,1094.079515458918
edp,L1,4,AXPY,4000000,3090,1.2597029957950215e-06,1.263988448125162e-07,896.6095795127738
edp,L1,4,AXPY,8000000,3090,4.8077072324350324e-06,4.8077072324350324e-06,0.0
edp,L1,4,AXPY,16000000,3090,1.8794338298742965e-05,1.8794338298742965e-05,0.0
edp,L1,4,AXPY,32000000,3090,7.300177561453408e-05,7.300177561453408e-05,0.0
edp,L1,4,AXPY,64000000,3090,0.0002919382094604739,0.0002919382094604739,0.0
edp,L1,4,AXPY,128000000,3090,0.001166415844527228,0.001166415844527228,0.0
edp,L1,4,AXPY,256000000,3090,0.004639165408237017,0.004639165408237017,0.0
edp,L1,4,CONV2D,1,3090,3.319291724149769e-05,3.319291724149769e-05,0.0
edp,L1,4,CONV2D,2,3090,2.8196093732050373e-05,2.8196093732050373e-05,0.0
edp,L1,4,CONV2D,3,3090,1.8972462837251544e-05,1.8972462837251544e-05,0.0
edp,L1,4,CONV2D,4,3090,3.080241196636839e-05,3.080241196636839e-05,0.0
edp,L1,4,CONV2D,5,3090,7.59759333796075e-05,7.59759333796075e-05,0.0
edp,L1,4,CONV2D,6,3090,0.00018404204383770252,0.00018404204383770252,0.0
edp,L1,4,GEMM,64,3090,4.371891841861353e-09,3.2844421905941844e-09,33.109112237729455
edp,L1,4,GEMM,128,3090,4.763676951908083e-09,4.3726100295591845e-09,8.943558188479095
edp,L1,4,GEMM,256,3090,1.4299735543458652e-08,1.4299735543458652e-08,0.0
edp,L1,4,GEMM,512,3090,1.634364022584921e-07,1.634364022584921e-07,0.0
edp,L1,4,GEMM,1024,3090,4.822784860205309e-06,4.822784860205309e-06,0.0
edp,L1,4,GEMM,2048,3090,0.00018893034838697963,0.00018893034838697963,0.0
edp,L1,4,GEMM,4096,3090,0.00955991487689809,0.00955991487689809,0.0
edp,L1,4,GEMM,8192,3090,0.5480867763012148,0.5480867763012148,0.0
edp,L1,4,GEMM,16384,3090,34.33796961271875,34.33796961271875,0.0
edp,L1,4,REDUCTION,1000000,3090,6.867408474650861e-09,2.5025618159294214e-09,174.41513855674282
edp,L1,4,REDUCTION,2000000,3090,5.489749132689258e-08,6.027956910902821e-09,810.7147270346107
edp,L1,4,REDUCTION,4000000,3090,1.629421717207818e-07,1.2522827737896893e-08,1201.1611684770057
edp,L1,4,REDUCTION,8000000,3090,5.687821407749438e-07,3.732252805824761e-08,1423.9646679004993
edp,L1,4,REDUCTION,16000000,3090,2.0198749601557932e-06,1.989344160832357e-06,1.5347168139404177
edp,L1,4,REDUCTION,32000000,3090,7.684000031201492e-06,7.684000031201492e-06,0.0
edp,L1,4,REDUCTION,64000000,3090,3.0027478516043737e-05,3.0027478516043737e-05,0.0
edp,L1,4,REDUCTION,128000000,3090,0.00011905212612667781,0.00011905212612667781,0.0
edp,L1,4,REDUCTION,256000000,3090,0.0004739477778425282,0.0004739477778425282,0.0
edp,L1,4,STREAM,1000000,3090,8.330923527917674e-08,9.667867942850342e-09,761.7125903212843
edp,L1,4,STREAM,2000000,3090,3.501419347936799e-07,3.0993893092670806e-08,1029.712662255
edp,L1,4,STREAM,4000000,3090,1.2571183994879256e-06,1.0052378365348212e-06,25.05681280575032
edp,L1,4,STREAM,8000000,3090,4.804715974338251e-06,4.804715974338251e-06,0.0
edp,L1,4,STREAM,16000000,3090,1.8575598014527787e-05,1.8575598014527787e-05,0.0
edp,L1,4,STREAM,32000000,3090,7.349993492135788e-05,7.349993492135788e-05,0.0
edp,L1,4,STREAM,64000000,3090,0.00029161666551173943,0.00029161666551173943,0.0
edp,L1,4,STREAM,128000000,3090,0.0011545443858094009,0.0011545443858094009,0.0
edp,L1,4,STREAM,256000000,3090,0.004626165310469296,0.004626165310469296,0.0
edp,L1,4,STRIDED_GEMM,64,3090,4.918910034468208e-09,3.2437848487625957e-09,51.64106942372029
edp,L1,4,STRIDED_GEMM,128,3090,5.253117951909642e-09,4.2178040432306886e-09,24.54627806478036
edp,L1,4,STRIDED_GEMM,256,3090,1.574277490292042e-08,1.574277490292042e-08,0.0
edp,L1,4,STRIDED_GEMM,512,3090,1.718793547800583e-07,1.718793547800583e-07,0.0
edp,L1,4,STRIDED_GEMM,1024,3090,4.94647526296028e-06,4.94647526296028e-06,0.0
edp,L1,4,STRIDED_GEMM,2048,3090,0.00019809931283841766,0.00019809931283841766,0.0
edp,L1,4,STRIDED_GEMM,4096,3090,0.010039428765632677,0.010039428765632677,0.0
edp,L1,4,STRIDED_GEMM,8192,3090,0.568547874328125,0.568547874328125,0.0
edp,L1,4,STRIDED_GEMM,16384,3090,37.0868129004375,37.0868129004375,0.0
edp,L1,5,AXPY,1000000,3090,5.605277877460105e-08,9.140420603739137e-09,513.2406943250635
edp,L1,5,AXPY,2000000,3090,3.427689109537542e-07,2.9193506750664908e-08,1074.127225897407
edp,L1,5,AXPY,4000000,3090,1.2637220438530453e-06,1.2655383311615713e-07,898.5648105128045
edp,L1,5,AXPY,8000000,3090,4.7843745086359165e-06,4.7843745086359165e-06,0.0
edp,L1,5,AXPY,16000000,3090,1.858593980395894e-05,1.858593980395894e-05,0.0
edp,L1,5,AXPY,32000000,3090,7.327531327903157e-05,7.327531327903157e-05,0.0
edp,L1,5,AXPY,64000000,3090,0.0002941215359939776,0.0002941215359939776,0.0
edp,L1,5,AXPY,128000000,3090,0.0011630574049897213,0.0011630574049897213,0.0
edp,L1,5,AXPY,256000000,3090,0.004614236869702479,0.004614236869702479,0.0
