selection_objective,evaluation_objective,holdout_session,workload,size,selected_platform,selected_value,oracle_value,regret_pct
edp,edp,3,CONV2D,2,3090,2.8347796558324433e-05,2.8347796558324433e-05,0.0
edp,edp,3,CONV2D,3,3090,1.8654256313792556e-05,1.8654256313792556e-05,0.0
edp,edp,3,CONV2D,4,3090,3.0664125698115026e-05,3.0664125698115026e-05,0.0
edp,edp,3,CONV2D,5,3090,7.404988811641863e-05,7.404988811641863e-05,0.0
edp,edp,3,CONV2D,6,3090,0.0001888456552369573,0.0001888456552369573,0.0
edp,edp,3,GEMM,64,5060ti,3.3063817853684274e-09,3.3063817853684274e-09,0.0
edp,edp,3,GEMM,128,5060ti,4.21239092436194e-09,4.21239092436194e-09,0.0
edp,edp,3,GEMM,256,3090,1.4626701804604294e-08,1.4626701804604294e-08,0.0
edp,edp,3,GEMM,512,3090,1.638252432855722e-07,1.638252432855722e-07,0.0
edp,edp,3,GEMM,1024,3090,4.7792938101188475e-06,4.7792938101188475e-06,0.0
edp,edp,3,GEMM,2048,3090,0.00018870074383308674,0.00018870074383308674,0.0
edp,edp,3,GEMM,4096,3090,0.009586389181975213,0.009586389181975213,0.0
edp,edp,3,GEMM,8192,3090,0.5519611838732631,0.5519611838732631,0.0
edp,edp,3,GEMM,16384,3090,34.61250786581249,34.61250786581249,0.0
edp,edp,3,REDUCTION,1000000,5060ti,2.474535993631169e-09,2.474535993631169e-09,0.0
edp,edp,3,REDUCTION,2000000,5060ti,5.980464346876632e-09,5.980464346876632e-09,0.0
edp,edp,3,REDUCTION,4000000,5060ti,1.2520686060739825e-08,1.2520686060739825e-08,0.0
edp,edp,3,REDUCTION,8000000,5060ti,3.728527220003208e-08,3.728527220003208e-08,0.0
edp,edp,3,REDUCTION,16000000,3090,2.037456991504796e-06,2.037456991504796e-06,0.0
edp,edp,3,REDUCTION,32000000,3090,7.733533276266238e-06,7.733533276266238e-06,0.0
edp,edp,3,REDUCTION,64000000,3090,3.013640378525834e-05,3.013640378525834e-05,0.0
edp,edp,3,REDUCTION,128000000,3090,0.00011911742426590635,0.00011911742426590635,0.0
edp,edp,3,REDUCTION,256000000,3090,0.00047341211063243495,0.00047341211063243495,0.0
edp,edp,3,STREAM,1000000,5060ti,9.658311566724401e-09,9.658311566724401e-09,0.0
edp,edp,3,STREAM,2000000,5060ti,3.1114843469929694e-08,3.1114843469929694e-08,0.0
edp,edp,3,STREAM,4000000,5060ti,9.953849820742517e-07,9.953849820742517e-07,0.0
edp,edp,3,STREAM,8000000,3090,4.77129052457679e-06,4.77129052457679e-06,0.0
edp,edp,3,STREAM,16000000,3090,1.86020048914739e-05,1.86020048914739e-05,0.0
edp,edp,3,STREAM,32000000,3090,7.35303107590801e-05,7.35303107590801e-05,0.0
edp,edp,3,STREAM,64000000,3090,0.0002921000196105803,0.0002921000196105803,0.0
edp,edp,3,STREAM,128000000,3090,0.0011546890956053667,0.0011546890956053667,0.0
edp,edp,3,STREAM,256000000,3090,0.004604439428091058,0.004604439428091058,0.0
edp,edp,3,STRIDED_GEMM,64,5060ti,3.237613049447247e-09,3.237613049447247e-09,0.0
edp,edp,3,STRIDED_GEMM,128,5060ti,4.1285733098116655e-09,4.1285733098116655e-09,0.0
edp,edp,3,STRIDED_GEMM,256,3090,1.5793902250375102e-08,1.5793902250375102e-08,0.0
edp,edp,3,STRIDED_GEMM,512,3090,1.7394991964630863e-07,1.7394991964630863e-07,0.0
edp,edp,3,STRIDED_GEMM,1024,3090,5.039506289485348e-06,5.039506289485348e-06,0.0
edp,edp,3,STRIDED_GEMM,2048,3090,0.00019715618085984927,0.00019715618085984927,0.0
edp,edp,3,STRIDED_GEMM,4096,3090,0.010086198379814693,0.010086198379814693,0.0
edp,edp,3,STRIDED_GEMM,8192,3090,0.5672881434609375,0.5672881434609375,0.0
edp,edp,3,STRIDED_GEMM,16384,3090,37.21716666729688,37.21716666729688,0.0
edp,edp,4,AXPY,1000000,5060ti,8.783485184422363e-09,8.783485184422363e-09,0.0
edp,edp,4,AXPY,2000000,5060ti,2.87020907119081e-08,2.87020907119081e-08,0.0
edp,edp,4,AXPY,4000000,5060ti,1.263988448125162e-07,1.263988448125162e-07,0.0
edp,edp,4,AXPY,8000000,3090,4.8077072324350324e-06,4.8077072324350324e-06,0.0
edp,edp,4,AXPY,16000000,3090,1.8794338298742965e-05,1.8794338298742965e-05,0.0
edp,edp,4,AXPY,32000000,3090,7.300177561453408e-05,7.300177561453408e-05,0.0
edp,edp,4,AXPY,64000000,3090,0.0002919382094604739,0.0002919382094604739,0.0
edp,edp,4,AXPY,128000000,3090,0.001166415844527228,0.001166415844527228,0.0
edp,edp,4,AXPY,256000000,3090,0.004639165408237017,0.004639165408237017,0.0
edp,edp,4,CONV2D,1,3090,3.319291724149769e-05,3.319291724149769e-05,0.0
edp,edp,4,CONV2D,2,3090,2.8196093732050373e-05,2.8196093732050373e-05,0.0
edp,edp,4,CONV2D,3,3090,1.8972462837251544e-05,1.8972462837251544e-05,0.0
edp,edp,4,CONV2D,4,3090,3.080241196636839e-05,3.080241196636839e-05,0.0
edp,edp,4,CONV2D,5,3090,7.59759333796075e-05,7.59759333796075e-05,0.0
edp,edp,4,CONV2D,6,3090,0.00018404204383770252,0.00018404204383770252,0.0
edp,edp,4,GEMM,64,5060ti,3.2844421905941844e-09,3.2844421905941844e-09,0.0
edp,edp,4,GEMM,128,5060ti,4.3726100295591845e-09,4.3726100295591845e-09,0.0
edp,edp,4,GEMM,256,3090,1.4299735543458652e-08,1.4299735543458652e-08,0.0
edp,edp,4,GEMM,512,3090,1.634364022584921e-07,1.634364022584921e-07,0.0
edp,edp,4,GEMM,1024,3090,4.822784860205309e-06,4.822784860205309e-06,0.0
edp,edp,4,GEMM,2048,3090,0.00018893034838697963,0.00018893034838697963,0.0
edp,edp,4,GEMM,4096,3090,0.00955991487689809,0.00955991487689809,0.0
edp,edp,4,GEMM,8192,3090,0.5480867763012148,0.5480867763012148,0.0
edp,edp,4,GEMM,16384,3090,34.33796961271875,34.33796961271875,0.0
edp,edp,4,REDUCTION,1000000,5060ti,2.5025618159294214e-09,2.5025618159294214e-09,0.0
edp,edp,4,REDUCTION,2000000,5060ti,6.027956910902821e-09,6.027956910902821e-09,0.0
edp,edp,4,REDUCTION,4000000,5060ti,1.2522827737896893e-08,1.2522827737896893e-08,0.0
edp,edp,4,REDUCTION,8000000,5060ti,3.732252805824761e-08,3.732252805824761e-08,0.0
edp,edp,4,REDUCTION,16000000,3090,2.0198749601557932e-06,1.989344160832357e-06,1.5347168139404177
edp,edp,4,REDUCTION,32000000,3090,7.684000031201492e-06,7.684000031201492e-06,0.0
edp,edp,4,REDUCTION,64000000,3090,3.0027478516043737e-05,3.0027478516043737e-05,0.0
edp,edp,4,REDUCTION,128000000,3090,0.00011905212612667781,0.00011905212612667781,0.0
edp,edp,4,REDUCTION,256000000,3090,0.0004739477778425282,0.0004739477778425282,0.0
edp,edp,4,STREAM,1000000,5060ti,9.667867942850342e-09,9.667867942850342e-09,0.0
edp,edp,4,STREAM,2000000,5060ti,3.0993893092670806e-08,3.0993893092670806e-08,0.0
edp,edp,4,STREAM,4000000,5060ti,1.0052378365348212e-06,1.0052378365348212e-06,0.0
edp,edp,4,STREAM,8000000,3090,4.804715974338251e-06,4.804715974338251e-06,0.0
edp,edp,4,STREAM,16000000,3090,1.8575598014527787e-05,1.8575598014527787e-05,0.0
edp,edp,4,STREAM,32000000,3090,7.349993492135788e-05,7.349993492135788e-05,0.0
edp,edp,4,STREAM,64000000,3090,0.00029161666551173943,0.00029161666551173943,0.0
edp,edp,4,STREAM,128000000,3090,0.0011545443858094009,0.0011545443858094009,0.0
edp,edp,4,STREAM,256000000,3090,0.004626165310469296,0.004626165310469296,0.0
edp,edp,4,STRIDED_GEMM,64,5060ti,3.2437848487625957e-09,3.2437848487625957e-09,0.0
edp,edp,4,STRIDED_GEMM,128,5060ti,4.2178040432306886e-09,4.2178040432306886e-09,0.0
edp,edp,4,STRIDED_GEMM,256,3090,1.574277490292042e-08,1.574277490292042e-08,0.0
edp,edp,4,STRIDED_GEMM,512,3090,1.718793547800583e-07,1.718793547800583e-07,0.0
edp,edp,4,STRIDED_GEMM,1024,3090,4.94647526296028e-06,4.94647526296028e-06,0.0
edp,edp,4,STRIDED_GEMM,2048,3090,0.00019809931283841766,0.00019809931283841766,0.0
edp,edp,4,STRIDED_GEMM,4096,3090,0.010039428765632677,0.010039428765632677,0.0
edp,edp,4,STRIDED_GEMM,8192,3090,0.568547874328125,0.568547874328125,0.0
edp,edp,4,STRIDED_GEMM,16384,3090,37.0868129004375,37.0868129004375,0.0
edp,edp,5,AXPY,1000000,5060ti,9.140420603739137e-09,9.140420603739137e-09,0.0
edp,edp,5,AXPY,2000000,5060ti,2.9193506750664908e-08,2.9193506750664908e-08,0.0
edp,edp,5,AXPY,4000000,5060ti,1.2655383311615713e-07,1.2655383311615713e-07,0.0
edp,edp,5,AXPY,8000000,3090,4.7843745086359165e-06,4.7843745086359165e-06,0.0
edp,edp,5,AXPY,16000000,3090,1.858593980395894e-05,1.858593980395894e-05,0.0
edp,edp,5,AXPY,32000000,3090,7.327531327903157e-05,7.327531327903157e-05,0.0
edp,edp,5,AXPY,64000000,3090,0.0002941215359939776,0.0002941215359939776,0.0
edp,edp,5,AXPY,128000000,3090,0.0011630574049897213,0.0011630574049897213,0.0
edp,edp,5,AXPY,256000000,3090,0.004614236869702479,0.004614236869702479,0.0
edp,edp,5,CONV2D,1,3090,3.280252408391918e-05,3.280252408391918e-05,0.0
edp,edp,5,CONV2D,2,3090,2.804233023893946e-05,2.804233023893946e-05,0.0
edp,edp,5,CONV2D,3,3090,1.8578542447234646e-05,1.8578542447234646e-05,0.0
