workload,size,platform,configuration,threads,runtime,energy,edp,power,runtime_cv,energy_cv
AXPY,4000000,INTEL,20T,20,0.0007757265463451,0.0816096684931506,6.30474946746542e-05,105.172679545724,0.0032101080083996,0.0308252123421987
AXPY,8000000,3090,gpu_resident,-1,0.0001163913953095,0.0411490524357632,4.785243675121812e-06,353.8470836033578,0.0005336499702735,0.0026427781952069
AXPY,8000000,5060ti,gpu_resident,-1,0.0002430642955982,0.0230670511896178,5.602463981214763e-06,95.36831324599748,0.0027378232353907,0.0069883716390925
AXPY,8000000,AMD,1T,1,0.003244049843042,0.2394993012820512,0.0007812704406719,74.28900565567218,0.0117437276108344,0.0180020861129369
AXPY,8000000,AMD,2T,2,0.0021232570454545,0.1724496902286902,0.0003680338227962,80.89002802852508,0.0043273514879158,0.0177672300981113
AXPY,8000000,AMD,4T,4,0.0006444223438617,0.0660079394358407,4.150925429916209e-05,103.55615938561988,0.0290943273866804,0.04837555618238
AXPY,8000000,AMD,8T,8,0.0001039641709004,0.0193283487711689,2.009053606104036e-06,185.8870816647249,0.0699780228644019,0.0387062552267962
AXPY,8000000,AMD,10T,10,0.0001402965722991,0.0231783369806094,3.250634445568111e-06,165.65159076941694,0.0416682338098016,0.0129722792453773
AXPY,8000000,AMD,16T,16,6.082393809295064e-05,0.016483473291484,1.0056689386741435e-06,270.3723874194884,0.0136564938137777,0.0103027777924153
AXPY,8000000,AMD,20T,20,7.928620977214e-05,0.0189453267167802,1.500142628230349e-06,238.68937553185825,0.0708801057348299,0.037901787532183
AXPY,8000000,AMD,32T,32,5.1988345087510966e-05,0.0139876325374961,7.267372843729148e-07,269.0385025768005,0.1944248715422417,0.1778344716094182
AXPY,8000000,AMD,64T,64,7.627604076783828e-05,0.0201663172424196,1.5382685536726351e-06,267.20958484196296,0.0213607935480173,0.0376520565367945
AXPY,8000000,INTEL,1T,1,0.004047255515873,0.1792958849206349,0.0007246260857069,44.41716765486281,0.0056822927172882,0.0465507544706257
AXPY,8000000,INTEL,2T,2,0.0025682125525641,0.1427214961832061,0.0003644226171869,55.918960321521794,0.0041763179949981,0.0393394673180363
AXPY,8000000,INTEL,4T,4,0.0021811223891304,0.1468873380743982,0.00032211239561,67.02263220542702,0.0035730131730019,0.0310784206878191
AXPY,8000000,INTEL,8T,8,0.002164647325431,0.1981673588362069,0.0004292015549598,91.47434279853306,0.0021658664470741,0.0201192406130405
AXPY,8000000,INTEL,10T,10,0.0022126466169977,0.2253699856512141,0.0004985697618728,101.89103432222272,0.0036400398004663,0.0432126116656313
AXPY,8000000,INTEL,16T,16,0.002248284912556,0.2204877109375,0.0004931923694662,98.57174291766664,0.0042003992167417,0.0264536571351351
AXPY,8000000,INTEL,20T,20,0.0023575665070588,0.2349888333333333,0.0005532533731433,100.28626797770688,0.0077848477139073,0.0238477003795105
AXPY,16000000,3090,gpu_resident,-1,0.000230460056682,0.0813677486187845,1.873562875438196e-05,353.37541172914825,0.0009475920324535,0.0050218415372305
AXPY,16000000,5060ti,gpu_resident,-1,0.0004852657011633,0.0463498062015503,2.2493325606295025e-05,95.50853360123187,8.327543912175441e-05,0.0049957237732662
AXPY,16000000,AMD,1T,1,0.0065877445888157,0.4791474738562091,0.0031586259404042,72.6610106775321,0.0027696645213819,0.0109771090416192
AXPY,16000000,AMD,2T,2,0.0043709495502183,0.3523739475982532,0.0015402040324112,80.51681690712476,0.0011669037653164,0.0119570456705934
AXPY,16000000,AMD,4T,4,0.003545385798305,0.3280951105442177,0.0011626632627868,92.59283861386515,0.0028669394582749,0.0554457660759179
AXPY,16000000,AMD,8T,8,0.0010246587730524,0.1163629485614646,0.000120477684868,112.69231935630488,0.0222016241007786,0.029071885101633
AXPY,16000000,AMD,10T,10,0.0014949723080094,0.1621701248513674,0.0002443996215641,108.34762984160416,0.0081409558729963,0.0387239944984495
AXPY,16000000,AMD,16T,16,0.0009770845425963,0.1322890793319415,0.0001345364584866,132.65355706798954,0.0297255349744233,0.0421641955965951
AXPY,16000000,AMD,20T,20,0.0019498486237113,0.2168673814432989,0.0004229288971202,111.49676836458464,0.0033963462888149,0.0169585484972028
AXPY,16000000,AMD,32T,32,0.0007951313779761,0.133860074074074,0.0001064103801166,168.05579722341324,0.0585168303173222,0.0492664378129175
AXPY,16000000,AMD,64T,64,0.0009040415983542,0.154205592476489,0.0001394201966327,170.596986647876,0.0260141613077502,0.0225762763156725
AXPY,16000000,INTEL,1T,1,0.0087135024870689,0.3860928034188034,0.0033442801092841,44.5001250826892,0.0045479088726408,0.0070634500406827
AXPY,16000000,INTEL,2T,2,0.0056624264463276,0.3140905932203389,0.0017778326146482,55.46119113578553,0.0040812250582381,0.0197749137439284
AXPY,16000000,INTEL,4T,4,0.0049420484583333,0.3430466200980392,0.0016977910059351,69.41111621518445,0.002691174315991,0.0102039446959084
AXPY,16000000,INTEL,8T,8,0.0049253517647058,0.4546037867647058,0.0022375654319387,92.36136787230252,0.00320392427205,0.0168600809813239
AXPY,16000000,INTEL,10T,10,0.0051015246096938,0.525640078680203,0.0026810309662919,103.0564350156829,0.0009072210950389,0.0332764104903103
AXPY,16000000,INTEL,16T,16,0.0051318424668367,0.5005749719387755,0.0025680415199877,97.59153171202308,0.0038328119823932,0.0254449026613877
AXPY,16000000,INTEL,20T,20,0.0054453757961956,0.5635568858695652,0.0030684416456672,103.50916423442852,0.0008655589939332,0.0110906700947273
