workload,size,platform,runtime_opt_cfg,energy_opt_cfg,runtime_gain_pct,energy_premium_pct,marginal_cost_ratio,rt_opt_energy,en_opt_energy
CONV2D,3,AMD,32T,64T,2.776551174111841,3.16757250660471,1.1408298669726296,0.3091019224629418,0.2996115106257379
CONV2D,3,INTEL,20T,10T,0.05897648904307218,8.993828511533387,152.49854064667943,0.3907400053763441,0.358497366972477
CONV2D,4,AMD,32T,64T,3.0913287423104174,9.318044536398705,3.014252223927024,0.3173800539772727,0.2903272330960854
CONV2D,4,INTEL,20T,10T,3.3940005358614966,4.722906222793899,1.3915455147667168,0.430116029040404,0.410718193902439
CONV2D,5,AMD,64T,64T,0.0,0.0,0.0,0.7427797698863636,0.7427797698863636
CONV2D,5,INTEL,10T,8T,6.481813171595441,0.3982883862064357,0.06144706360124856,1.0173943726708077,1.0133582843137252
CONV2D,6,AMD,32T,64T,1.1429514259009288,12.243221420699513,10.711935033502252,1.577701448275862,1.4056095578034682
CONV2D,6,INTEL,20T,10T,2.036360419545047,0.9777892069073202,0.4801651011886063,1.6082024466019418,1.5926298834951456
GEMM,64,AMD,8T,8T,0.0,0.0,0.0,0.0004459453095281,0.0004459453095281
GEMM,64,INTEL,16T,16T,0.0,0.0,0.0,0.0001226988152536,0.0001226988152536
GEMM,128,AMD,4T,4T,0.0,0.0,0.0,0.0016263004085608,0.0016263004085608
GEMM,128,INTEL,10T,4T,4.997589863758001,18.342630789100014,3.6702953401836464,0.0014470509976176,0.0012227639253655
GEMM,256,AMD,16T,4T,24.388465869392316,15.042562288528117,0.616790017424041,0.0120784995388762,0.0104991572671888
GEMM,256,INTEL,8T,8T,0.0,0.0,0.0,0.0055113264120244,0.0055113264120244
GEMM,512,AMD,16T,16T,0.0,0.0,0.0,0.0648808432497734,0.0648808432497734
GEMM,512,INTEL,16T,8T,3.8288888332922655,2.728742368673265,0.7126721321723407,0.0389238862779592,0.0378899667030567
GEMM,1024,AMD,64T,16T,9.152115225987867,11.921927080961625,1.302641715776124,0.5024086896853146,0.4488921007604562
GEMM,1024,INTEL,8T,8T,0.0,0.0,0.0,0.2641295251677852,0.2641295251677852
GEMM,2048,AMD,64T,64T,0.0,0.0,0.0,2.1149090714285714,2.1149090714285714
GEMM,2048,INTEL,8T,8T,0.0,0.0,0.0,2.109212522058824,2.109212522058824
GEMM,4096,AMD,32T,64T,7.139201423180985,7.728577911556078,1.0825549600633746,15.194005921052632,14.10396963888889
GEMM,4096,INTEL,10T,8T,7.8136511375948015,0.6014979101332862,0.07698038977440697,17.04769805,16.9457696
GEMM,8192,AMD,32T,64T,4.9768651280698295,13.194663968407916,2.651199827375106,132.31458633333332,116.891187
GEMM,8192,INTEL,10T,8T,14.840807851819694,0.5427073029358631,0.03656858227359365,127.77964125,127.089915
GEMM,16384,AMD,32T,64T,5.047004385903442,8.764814783946129,1.736637045219682,1037.6603730000002,954.040491
GEMM,16384,INTEL,10T,8T,8.264315289620129,0.5664041104221473,0.0685361207278168,1088.0854405,1081.9571905
REDUCTION,1000000,AMD,8T,8T,0.0,0.0,0.0,0.0029015266273865,0.0029015266273865
REDUCTION,1000000,INTEL,20T,20T,0.0,0.0,0.0,0.0015453026383549,0.0015453026383549
REDUCTION,2000000,AMD,10T,8T,5.187957145392352,0.6544180732422245,0.1261417654198322,0.0045667839678463,0.0045370924150823
REDUCTION,2000000,INTEL,10T,20T,5.010372390702655,8.186044766871458,1.6338196302657346,0.0041927107834197,0.0038754635983361
REDUCTION,4000000,AMD,64T,64T,0.0,0.0,0.0,0.003917191179159,0.003917191179159
REDUCTION,4000000,INTEL,10T,16T,5.889786827345467,15.791202649089819,2.681116161246014,0.0177628872908235,0.0153404463244541
REDUCTION,8000000,AMD,20T,16T,5.262488525651965,1.3372622754069585,0.254112150342653,0.0124817435523279,0.0123170325229489
REDUCTION,8000000,INTEL,16T,4T,25.24721240814438,11.445501388365775,0.45333723198184145,0.0521647459262435,0.0468074038668098
REDUCTION,16000000,AMD,32T,16T,23.26100685647625,1.5101805018530312,0.06492326455045827,0.0223916994480921,0.022058575147232
REDUCTION,16000000,INTEL,8T,4T,5.421904698326219,31.62170867186962,5.832214033867373,0.1515380431145431,0.1151314966532797
REDUCTION,32000000,AMD,32T,32T,0.0,0.0,0.0,0.0899027944705268,0.0899027944705268
REDUCTION,32000000,INTEL,8T,4T,3.0984209949986186,30.04186392248378,9.695862496083162,0.3305836584302325,0.2542132575301205
REDUCTION,64000000,AMD,10T,4T,20.905694025916176,8.134761096075094,0.3891170073564967,0.5168047666666666,0.4779265810810811
REDUCTION,64000000,INTEL,8T,4T,1.3440824914599858,36.80393374726154,27.382198623303186,0.7037822239263803,0.514445896875
REDUCTION,128000000,AMD,16T,4T,15.83510753072439,25.47994283858277,1.609079243013967,1.1677849045454545,0.9306546354166668
REDUCTION,128000000,INTEL,8T,4T,0.8317304692839089,36.91154670639112,44.37921666879738,1.4511283797468355,1.0599021153846155
REDUCTION,256000000,AMD,16T,4T,13.695199357878884,30.985391770624382,2.262500235368856,2.3796605714285715,1.8167373775510205
REDUCTION,256000000,INTEL,8T,4T,0.2441796867607815,39.44929355415414,161.55845753378293,2.9647007948717947,2.126006320512821
STREAM,1000000,AMD,16T,10T,3.3432084851519717,2.232875857116867,0.6678841200103522,0.0039046152236151,0.0038193342316539
STREAM,1000000,INTEL,10T,10T,0.0,0.0,0.0,0.0077692344628316,0.0077692344628316
STREAM,2000000,AMD,20T,16T,0.41968946909847205,3.0011119086827076,7.150791548640346,0.0068710531523307,0.0066708533772163
STREAM,2000000,INTEL,10T,10T,0.0,0.0,0.0,0.0320214308588064,0.0320214308588064
STREAM,4000000,AMD,32T,16T,7.841523937525152,0.26536606154845543,0.033841133899822934,0.0118868718820379,0.0118554116430803
STREAM,4000000,INTEL,10T,2T,25.354273902131432,48.99839948733988,1.9325498997319257,0.1512343587239583,0.1015006599025974
STREAM,8000000,AMD,32T,32T,0.0,0.0,0.0,0.023155995866043,0.023155995866043
STREAM,8000000,INTEL,8T,2T,22.293915200576798,42.90093602833511,1.9243338660956761,0.3285688021806853,0.2299276766917293
STREAM,16000000,AMD,10T,10T,0.0,0.0,0.0,0.4171638286219081,0.4171638286219081
STREAM,16000000,INTEL,4T,2T,18.34880993478125,6.359755236317821,0.34660314532238573,0.5116990067114094,0.4811020912698412
STREAM,32000000,AMD,4T,4T,0.0,0.0,0.0,0.9132863018867924,0.9132863018867924
STREAM,32000000,INTEL,4T,2T,17.35731879624245,6.8582868953901865,0.3951236349288511,1.046522828767123,0.9793557983870969
STREAM,64000000,AMD,4T,4T,0.0,0.0,0.0,1.6901122685185186,1.6901122685185186
STREAM,64000000,INTEL,4T,2T,16.551376019054032,8.250603259317234,0.4984844311324385,2.1382840833333336,1.9753091612903224
STREAM,128000000,AMD,4T,4T,0.0,0.0,0.0,3.4010507142857147,3.4010507142857147
STREAM,128000000,INTEL,4T,2T,16.154645904683672,8.659335110985712,0.5360275404411764,4.328580166666667,3.98362475
STREAM,256000000,AMD,4T,4T,0.0,0.0,0.0,6.815670107142857,6.815670107142857
STREAM,256000000,INTEL,8T,2T,16.018829895018193,50.34733536387497,3.1430095514986918,12.165764055555556,8.0917723125
STRIDED_GEMM,64,AMD,8T,8T,0.0,0.0,0.0,0.0004390853733376,0.0004390853733376
STRIDED_GEMM,64,INTEL,16T,16T,0.0,0.0,0.0,0.0001315633664435,0.0001315633664435
STRIDED_GEMM,128,AMD,4T,4T,0.0,0.0,0.0,0.0015195568035815,0.0015195568035815
STRIDED_GEMM,128,INTEL,8T,4T,5.030959346713204,20.81240987044204,4.136867033926457,0.0014275580101796,0.0011816319297914
STRIDED_GEMM,256,AMD,16T,4T,32.89293508840218,13.105661709790528,0.3984339395243416,0.0117967718065991,0.0104298685214075
STRIDED_GEMM,256,INTEL,8T,8T,0.0,0.0,0.0,0.0055139437543533,0.0055139437543533
STRIDED_GEMM,512,AMD,16T,16T,0.0,0.0,0.0,0.0675389177373864,0.0675389177373864
STRIDED_GEMM,512,INTEL,16T,8T,2.10103075065311,2.963969718594961,1.4107217220279162,0.0410734260466282,0.0398910669031931
STRIDED_GEMM,1024,AMD,32T,16T,16.863680106837855,3.686944099499012,0.2186322366257432,0.4598089488,0.4434588682242991
STRIDED_GEMM,1024,INTEL,8T,8T,0.0,0.0,0.0,0.2627173336594912,0.2627173336594912
STRIDED_GEMM,2048,AMD,64T,64T,0.0,0.0,0.0,1.998782991735537,1.998782991735537
STRIDED_GEMM,2048,INTEL,8T,8T,0.0,0.0,0.0,2.131461861842105,2.131461861842105
STRIDED_GEMM,4096,AMD,32T,64T,7.643177339194285,7.209271950425977,0.9432297106933216,15.197801157894736,14.17582722222222
STRIDED_GEMM,4096,INTEL,10T,8T,6.9952904119753745,3.287955899648165,0.47002421715322196,17.99624605,17.423373222222224
STRIDED_GEMM,8192,AMD,32T,64T,4.6171748727715345,11.674708487397467,2.5285393794039974,129.93899966666666,116.35490383333334
STRIDED_GEMM,8192,INTEL,10T,8T,0.8586131966256128,0.6731079461061995,0.7839478227816007,145.78261625,144.80790275
STRIDED_GEMM,16384,AMD,32T,64T,5.831932521208172,7.260832639924386,1.245013143331123,988.003639,921.1224775
STRIDED_GEMM,16384,INTEL,10T,8T,2.6150974287519446,6.285814315018601,2.403663529285219,1227.1838395,1154.6073645
