workload,size,platform,runtime,runtime_cfg,energy,energy_cfg,edp,edp_cfg
GEMM,1024,5060ti,0.000448735017889,gpu_resident,0.0553448121645796,gpu_resident,2.4835180034446093e-05,gpu_resident
GEMM,1024,AMD,0.0017508977272727,64T,0.4488921007604562,16T,0.0008576660325907,16T
GEMM,1024,INTEL,0.0017181529605263,8T,0.2641295251677852,8T,0.0004620644390444,8T
GEMM,2048,3090,0.0007522031602708,gpu_resident,0.250474416854778,gpu_resident,0.0001885706667215,gpu_resident
GEMM,2048,5060ti,0.0035105244755244,gpu_resident,0.4714739583333333,gpu_resident,0.0016621508297526,gpu_resident
GEMM,2048,AMD,0.0084523949579831,64T,2.1149090714285714,64T,0.017877733615508,64T
GEMM,2048,INTEL,0.0140407697368421,8T,2.109212522058824,8T,0.0300952732327889,8T
GEMM,4096,3090,0.0055513555555555,gpu_resident,1.7184388888888886,gpu_resident,0.0095613850675,gpu_resident
GEMM,4096,5060ti,0.0281354166666666,gpu_resident,3.898097222222222,gpu_resident,0.1095370164857253,gpu_resident
GEMM,4096,AMD,0.0533719210526315,32T,14.10396963888889,64T,0.8068935694201573,64T
GEMM,4096,INTEL,0.10153,10T,16.9457696,8T,1.75826401362441,10T
GEMM,8192,3090,0.0417390208333333,gpu_resident,13.143166666666668,gpu_resident,0.5482763006675347,gpu_resident
GEMM,8192,5060ti,0.2244745,gpu_resident,31.1611,gpu_resident,6.9947694311,gpu_resident
GEMM,8192,AMD,0.4649546666666666,32T,116.891187,64T,57.321049020204,64T
GEMM,8192,INTEL,0.755188,10T,127.089915,8T,99.85258643626275,10T
GEMM,16384,3090,0.33249425,gpu_resident,103.623875,gpu_resident,34.50502702403125,gpu_resident
GEMM,16384,5060ti,1.79322,gpu_resident,298.9525,gpu_resident,536.0733924875001,gpu_resident
GEMM,16384,AMD,3.638703,32T,954.040491,64T,3650.454205423579,64T
GEMM,16384,INTEL,6.532229,10T,1081.9571905,8T,7227.848157785047,10T
REDUCTION,1000000,3090,5.658497548303753e-06,gpu_resident,0.0012116827679173,gpu_resident,6.8674084746508614e-09,gpu_resident
REDUCTION,1000000,5060ti,6.147174095315372e-06,gpu_resident,0.0004058325746143,gpu_resident,2.502561815929421e-09,gpu_resident
REDUCTION,1000000,AMD,2.814334881876381e-05,8T,0.0029015266273865,8T,8.16586759814696e-08,8T
REDUCTION,1000000,INTEL,1.1766524408740494e-05,20T,0.0015453026383549,20T,1.8139529036954358e-08,20T
REDUCTION,2000000,3090,1.382743051332375e-05,gpu_resident,0.0039716894787203,gpu_resident,5.4899818786934745e-08,gpu_resident
REDUCTION,2000000,5060ti,8.196056425240346e-06,gpu_resident,0.0007296760128185,gpu_resident,5.980464346876632e-09,gpu_resident
