platform,platform_label,device_kind,energy_domain,session_number,problem_size,configuration,num_threads,runtime_s,energy_j,total_energy_j,power_w,edp_j_s,throughput_gflops,efficiency_gflop_per_j,logical_bandwidth_gb_s,logical_gb_per_j,temperature_c,clock_mhz,working_set_bytes,operational_intensity_flop_per_byte
INTEL,Intel CPU,CPU,CPU package RAPL,4,1000000,20T,20,1.152046731098576e-05,0.0015453026383549,0.0015453029138073,133.82983206684366,1.7802608530747676e-08,86.80194761252564,0.6471217839015534,347.2084848663779,2.588492312585662,94.0,3600.0,4000004.0,0.2499995000005
INTEL,Intel CPU,CPU,CPU package RAPL,5,1000000,20T,20,1.7312274956763344e-05,0.0022389367965183,0.0022389367965183,129.3283028785228,3.8761089432139716e-08,57.762425937518564,0.44664012023701016,231.05016584994385,1.7865640540725758,92.0,3599.0,4000004.0,0.2499995000005
INTEL,Intel CPU,CPU,CPU package RAPL,1,2000000,1T,1,0.0002981180327868,0.0149768974664679,0.0149769612518628,50.24161243117585,4.464883209953019e-06,6.708748817721822,0.13353893918802884,26.835022105895977,0.5341562909081392,85.0,1364.5,8000004.0,0.249999750000125
INTEL,Intel CPU,CPU,CPU package RAPL,2,2000000,1T,1,0.0002978359630842,0.0150501789222983,0.0150502176242929,50.522896905832,4.482484533912241e-06,6.715102431853028,0.13288871915248845,26.86043658783527,0.5315554081650962,87.0,1363.5,8000004.0,0.249999750000125
INTEL,Intel CPU,CPU,CPU package RAPL,3,2000000,1T,1,0.0002987431947352,0.0156505115166018,0.0156505550403828,52.38853855348815,4.6754838097096616e-06,6.694709821834634,0.12779128643037863,26.778866066191213,0.5111656568869158,95.0,1358.5,8000004.0,0.249999750000125
INTEL,Intel CPU,CPU,CPU package RAPL,4,2000000,1T,1,0.0002979318046456,0.0160517051816557,0.0160517188802858,53.89217948793174,4.782313492409812e-06,6.712942253275264,0.12459729214847841,26.851795864883496,0.4983896669833314,97.5,1358.5,8000004.0,0.249999750000125
INTEL,Intel CPU,CPU,CPU package RAPL,5,2000000,1T,1,0.0002980777248362,0.0155824008338296,0.0155824691780821,52.27681782336792,4.6447665880336335e-06,6.7096560170641455,0.1283498622149403,26.83865090689407,0.5133999622594667,95.0,1364.0,8000004.0,0.249999750000125
INTEL,Intel CPU,CPU,CPU package RAPL,1,2000000,2T,2,0.0001648284418796,0.0111814056883759,0.011181446084089,67.83985064696566,1.8430136776386958e-06,12.133822155892927,0.17886829757721637,48.535337158884595,0.7154739057824133,90.0,1657.5,8000004.0,0.249999750000125
INTEL,Intel CPU,CPU,CPU package RAPL,2,2000000,2T,2,0.0001647518690812,0.0110510007476324,0.0110510833194882,67.03088990362842,1.8206730283901766e-06,12.139461671383382,0.18097899418100083,48.55789524340449,0.723916700640342,87.5,1518.0,8000004.0,0.249999750000125
INTEL,Intel CPU,CPU,CPU package RAPL,3,2000000,2T,2,0.000165029646902,0.0117229540306462,0.0117230075782811,71.01476252435667,1.93463496432592e-06,12.11902853544651,0.17060537768651088,48.47616261792442,0.6824221931678954,97.0,1517.0,8000004.0,0.249999750000125
INTEL,Intel CPU,CPU,CPU package RAPL,4,2000000,2T,2,0.0001666326666666,0.0115836089166666,0.0115836535,69.47556784924919,1.930207643407161e-06,12.00244249827445,0.17265767641053414,48.0098180028918,0.6906313962731875,94.5,1566.0,8000004.0,0.249999750000125
INTEL,Intel CPU,CPU,CPU package RAPL,5,2000000,2T,2,0.0001664391196013,0.0115972024916943,0.0115972051495016,69.60059889119918,1.9302281725556022e-06,12.016399779035954,0.17245529699359494,48.06564718176697,0.6898218777959126,96.5,1576.0,8000004.0,0.249999750000125
INTEL,Intel CPU,CPU,CPU package RAPL,1,2000000,4T,4,8.404198344314919e-05,0.0066590304105423,0.006659032353438,79.23459989902899,5.596381235102229e-07,23.797617786506837,0.3003438754137066,95.19056633654608,1.2013767030309288,59.5,1918.5,8000004.0,0.249999750000125
INTEL,Intel CPU,CPU,CPU package RAPL,2,2000000,4T,4,7.928733191790518e-05,0.0074874711409923,0.0074874801446882,94.44267223460513,5.936616095815927e-07,25.22469796399275,0.26711274906295585,100.89889275481329,1.068452064703354,90.0,1900.0,8000004.0,0.249999750000125
INTEL,Intel CPU,CPU,CPU package RAPL,3,2000000,4T,4,7.813698204151442e-05,0.0074495749047656,0.0074495755267045,95.19815493793688,5.820873005505861e-07,25.59606152868042,0.2684715605343564,102.38434849901898,1.0738873160242048,91.0,1900.0,8000004.0,0.249999750000125
INTEL,Intel CPU,CPU,CPU package RAPL,4,2000000,4T,4,7.990370636632319e-05,0.0077741106717788,0.0077741118699576,97.20986044116724,6.211802563771128e-07,25.030115509672207,0.2572640247147882,100.12056215920093,1.0290571279157663,93.0,1899.5,8000004.0,0.249999750000125
INTEL,Intel CPU,CPU,CPU package RAPL,5,2000000,4T,4,8.472839349262838e-05,0.0081088736231147,0.0081088736231147,95.74077757171392,6.870518351212575e-07,23.604826169329005,0.24664325687588906,94.41939909666792,0.986574014077077,93.0,1845.5,8000004.0,0.249999750000125
