platform,platform_label,device_kind,energy_domain,session_number,problem_size,configuration,num_threads,runtime_s,energy_j,total_energy_j,power_w,edp_j_s,throughput_gflops,efficiency_gflop_per_j,logical_bandwidth_gb_s,logical_gb_per_j,temperature_c,clock_mhz,working_set_bytes,operational_intensity_flop_per_byte
INTEL,Intel CPU,CPU,CPU package RAPL,5,2000000,20T,20,0.0004046097413096,0.0472158765157639,0.0481060440582053,116.69171190122732,1.9104003582749252e-05,9.88606944324475,0.0847172666309504,59.31641665946851,0.5083035997857024,82.0,3600.0,24000000.0,0.1666666666666666
INTEL,Intel CPU,CPU,CPU package RAPL,1,4000000,1T,1,0.0026650853333333,0.118735212,0.120952692,44.55814434682044,0.00031643947205142004,3.0017800555729925,0.06737681152243194,18.010680333437953,0.40426086913459164,76.0,1339.0,48000000.0,0.1666666666666666
INTEL,Intel CPU,CPU,CPU package RAPL,2,4000000,1T,1,0.0026569124668435,0.1224885835543766,0.1247129880636604,46.12897815810145,0.0003254414446916249,3.0110137612114354,0.0653122092513099,18.066082567268612,0.39187325550785934,82.0,1339.0,48000000.0,0.1666666666666666
INTEL,Intel CPU,CPU,CPU package RAPL,3,4000000,1T,1,0.0026437203166226,0.1263241715039577,0.1283928799472295,47.791092626730936,0.0003339657786855307,3.0260387037537098,0.06332913095534819,18.15623222252226,0.3799747857320891,81.0,1338.5,48000000.0,0.1666666666666666
INTEL,Intel CPU,CPU,CPU package RAPL,4,4000000,1T,1,0.0026753729946524,0.1240331564171123,0.1261711069518716,46.32820834697219,0.00033183495711983926,2.990237255138103,0.06449888264632017,17.941423530828622,0.38699329587792103,83.0,1339.0,48000000.0,0.1666666666666666
INTEL,Intel CPU,CPU,CPU package RAPL,5,4000000,1T,1,0.0026711066666666,0.1269190266666666,0.1290300813333333,47.51361965656521,0.0003390142582561691,2.995013302850828,0.06303231446149343,17.97007981710497,0.3781938867689606,81.0,1338.5,48000000.0,0.1666666666666666
INTEL,Intel CPU,CPU,CPU package RAPL,1,4000000,2T,2,0.0016446710743801,0.0962851338842975,0.0989928041322314,58.43288204660856,0.00015835737459231935,4.864194503460404,0.08308655425055878,29.185167020762425,0.4985193255033527,73.0,1592.0,48000000.0,0.1666666666666666
INTEL,Intel CPU,CPU,CPU package RAPL,2,4000000,2T,2,0.0016305024793388,0.0978253338842975,0.1004052669421487,59.832686814600265,0.000159504449440493,4.90646294708129,0.0817784073138147,29.438777682487743,0.4906704438828883,79.0,1617.5,48000000.0,0.1666666666666666
INTEL,Intel CPU,CPU,CPU package RAPL,3,4000000,2T,2,0.001648908496732,0.1039322826797385,0.1063720326797385,63.21180966726449,0.0001713748239953729,4.85169432740224,0.07697319633257312,29.11016596441344,0.4618391779954387,83.5,1666.5,48000000.0,0.1666666666666666
INTEL,Intel CPU,CPU,CPU package RAPL,4,4000000,2T,2,0.0016534685430463,0.1029760496688741,0.1053889660596026,62.37938212005445,0.00017026765881465668,4.838313999769868,0.0776879675004479,29.02988399861921,0.46612780500268747,84.0,1606.5,48000000.0,0.1666666666666666
INTEL,Intel CPU,CPU,CPU package RAPL,5,4000000,2T,2,0.0016338701298701,0.1015006599025974,0.1039781550324675,62.01488531675991,0.00016583889637695768,4.896349993641193,0.07881722155971203,29.37809996184716,0.47290332935827223,82.0,1609.0,48000000.0,0.1666666666666666
INTEL,Intel CPU,CPU,CPU package RAPL,1,4000000,4T,4,0.0013379772727272,0.094651739973262,0.0971169725935828,70.73827289660595,0.0001266418769083092,5.9791748059319385,0.08452036911587579,35.87504883559163,0.5071222146952548,69.0,1850.0,48000000.0,0.1666666666666666
INTEL,Intel CPU,CPU,CPU package RAPL,2,4000000,4T,4,0.0013335315860215,0.1027659583333333,0.1053918407258064,76.79883090818927,0.00013704165140526934,5.999107995534962,0.07784679021871302,35.99464797320978,0.4670807413122781,79.0,1833.5,48000000.0,0.1666666666666666
INTEL,Intel CPU,CPU,CPU package RAPL,3,4000000,4T,4,0.0013462916666666,0.104096504704301,0.1065528642473118,77.12472115452297,0.00014014425681252096,5.942248769769103,0.07685176387742307,35.653492618614614,0.4611105832645384,81.0,1965.5,48000000.0,0.1666666666666666
INTEL,Intel CPU,CPU,CPU package RAPL,4,4000000,4T,4,0.0013419651941097,0.1035915923694779,0.1061831378848728,76.9350484007199,0.00013901631136223932,5.961406476944762,0.07722634450358261,35.76843886166857,0.4633580670214956,81.0,1831.0,48000000.0,0.1666666666666666
INTEL,Intel CPU,CPU,CPU package RAPL,5,4000000,4T,4,0.0013588731343283,0.1039402862957937,0.106581684531886,76.39919895991127,0.00014124166262174603,5.887230969471225,0.07696726923796963,35.32338581682735,0.46180361542781784,80.0,1778.5,48000000.0,0.1666666666666666
INTEL,Intel CPU,CPU,CPU package RAPL,1,4000000,8T,8,0.001306448366013,0.1190007777777777,0.1216056980392156,91.0749104454804,0.0001554683716820538,6.123472008629229,0.06722645136773153,36.74083205177538,0.4033587082063892,59.0,2420.0,48000000.0,0.1666666666666666
INTEL,Intel CPU,CPU,CPU package RAPL,2,4000000,8T,8,0.0013175978975032,0.1395433745072273,0.1421774776609723,105.6582075598235,0.00018386205686122436,6.0716551044591895,0.057329844775866876,36.42993062675514,0.34397906865520117,80.0,2312.0,48000000.0,0.1666666666666666
INTEL,Intel CPU,CPU,CPU package RAPL,3,4000000,8T,8,0.00131494921875,0.1374305546874999,0.140139384765625,104.46600338533946,0.00018071420051870714,6.083885131020388,0.058211218154441795,36.50331078612232,0.34926730892665075,81.0,2249.5,48000000.0,0.1666666666666666
INTEL,Intel CPU,CPU,CPU package RAPL,4,4000000,8T,8,0.0013064954545454,0.1366386974025974,0.1395120201298701,104.54962478469866,0.00017851783707149786,6.123251307279618,0.058548567514724606,36.739507843677714,0.35129140508834766,81.0,2189.5,48000000.0,0.1666666666666666
INTEL,Intel CPU,CPU,CPU package RAPL,5,4000000,8T,8,0.0013218133245382,0.1408963588390501,0.1435652697889182,106.62591271567716,0.00018623868449237202,6.052291841433017,0.05677932393653002,36.3137510485981,0.3406759436191801,82.0,2323.5,48000000.0,0.1666666666666666
INTEL,Intel CPU,CPU,CPU package RAPL,1,4000000,10T,10,0.0013120183486238,0.1441273125819135,0.1470056671035386,109.76791395838728,0.00018909767864530838,6.097475701000177,0.05550648143427548,36.58485420600106,0.3330388886056529,72.0,2519.0,48000000.0,0.1666666666666666
INTEL,Intel CPU,CPU,CPU package RAPL,2,4000000,10T,10,0.0013241957671957,0.1539358406084656,0.1570053505291005,116.230345766736,0.0002038411885534421,6.041402788155641,0.05196970353608506,36.24841672893385,0.3118182212165103,82.0,2400.0,48000000.0,0.1666666666666666
INTEL,Intel CPU,CPU,CPU package RAPL,3,4000000,10T,10,0.0013028580729166,0.1512343587239583,0.1539888072916666,116.04756582667106,0.00019703690516587407,6.140346493836482,0.05289803234860183,36.84207896301889,0.317388194091611,82.0,2520.0,48000000.0,0.1666666666666666
INTEL,Intel CPU,CPU,CPU package RAPL,4,4000000,10T,10,0.00133691188251,0.1581782730307076,0.1612853377837116,118.26791980468028,0.00021147041276966408,5.983939633313986,0.05057584614321169,35.90363779988391,0.30345507685927015,84.0,2519.5,48000000.0,0.1666666666666666
INTEL,Intel CPU,CPU,CPU package RAPL,5,4000000,10T,10,0.001231422509225,0.1429996377613775,0.1456951291512915,116.143859610261,0.00017609297275038155,6.496551703472456,0.05594419765838529,38.97931022083473,0.3356651859503117,82.0,2519.0,48000000.0,0.1666666666666666
INTEL,Intel CPU,CPU,CPU package RAPL,1,4000000,16T,16,0.0013469576612903,0.1420858293010752,0.1452617103494623,105.4003775373066,0.00019138359633786903,5.939310662769094,0.05630399624897331,35.635863976614566,0.33782397749383986,75.0,3243.5,48000000.0,0.1666666666666666
