platform,platform_label,device_kind,energy_domain,session_number,problem_size,num_threads,configuration,runtime_per_op_s,total_energy_per_op_j,edp_total_j_s,throughput_gflops,energy_efficiency_gflop_per_j,avg_power_w,temp_c,sm_clock_mhz,selected_campaign
AMD,AMD Threadripper 3970X,CPU,CPU package RAPL plus DRAM RAPL when available,1,4,64,64T,0.001191600251182,0.2895560803782506,0.0003452855401627,3104.5450119520383,12.776027543374934,242.7598340169043,67.0,-1.0,20260729_005653
AMD,AMD Threadripper 3970X,CPU,CPU package RAPL plus DRAM RAPL when available,1,5,1,1T,0.0987549188181818,7.168661954545454,0.7078144167951153,76.48118473199858,1.053599324001362,72.6033860399301,72.0,-1.0,20260729_005653
AMD,AMD Threadripper 3970X,CPU,CPU package RAPL plus DRAM RAPL when available,1,5,2,2T,0.0494658983333333,4.139881928571429,0.2048383554482504,152.68888636540413,1.8244257488084497,83.54212436915256,70.0,-1.0,20260729_005653
AMD,AMD Threadripper 3970X,CPU,CPU package RAPL plus DRAM RAPL when available,1,5,4,4T,0.0257072899875,2.713870075,0.0697123991123103,293.80354991283343,2.783071383336558,105.47331909656192,67.0,-1.0,20260729_005653
AMD,AMD Threadripper 3970X,CPU,CPU package RAPL plus DRAM RAPL when available,1,5,8,8T,0.011591291091954,1.7969279080459772,0.0208317326184617,651.6007249997219,4.203225954492604,155.0633939729296,75.0,-1.0,20260729_005653
AMD,AMD Threadripper 3970X,CPU,CPU package RAPL plus DRAM RAPL when available,1,5,10,10T,0.0098475020194174,1.692836218446602,0.0166835633199155,766.9858729661228,4.461680755019776,171.99649447225624,71.0,-1.0,20260729_005653
AMD,AMD Threadripper 3970X,CPU,CPU package RAPL plus DRAM RAPL when available,1,5,16,16T,0.0057965837057142,1.38809376,0.0080546124650174,1302.990501867259,5.441198581721257,239.22123679141828,83.0,-1.0,20260729_005653
AMD,AMD Threadripper 3970X,CPU,CPU package RAPL plus DRAM RAPL when available,1,5,20,20T,0.0051717255979381,1.367540012886598,0.007076170229507,1460.4203090779852,5.522977697458258,264.4724789483839,84.0,-1.0,20260729_005653
AMD,AMD Threadripper 3970X,CPU,CPU package RAPL plus DRAM RAPL when available,1,5,32,32T,0.0030880684435975,0.8864298841463414,0.0027373561969683,2445.830834256278,8.520575884854495,286.8909379473375,72.0,-1.0,20260729_005653
AMD,AMD Threadripper 3970X,CPU,CPU package RAPL plus DRAM RAPL when available,1,5,64,64T,0.0028842134612068,0.7455774123563218,0.0021493773405235,2618.7011599472835,10.1302601740882,258.5386715788632,73.0,-1.0,20260729_005653
AMD,AMD Threadripper 3970X,CPU,CPU package RAPL plus DRAM RAPL when available,1,6,1,1T,0.1199251352777777,9.233401555555556,1.1111251500561932,109.67988280934549,1.4245386535300928,76.92347073864056,70.5,-1.0,20260729_005653
AMD,AMD Threadripper 3970X,CPU,CPU package RAPL plus DRAM RAPL when available,1,6,2,2T,0.0608879819117647,5.507739529411765,0.3355467236888535,216.02523795479584,2.388155492796879,90.48433700388364,70.0,-1.0,20260729_005653
AMD,AMD Threadripper 3970X,CPU,CPU package RAPL plus DRAM RAPL when available,1,6,4,4T,0.0308912954242424,3.7097503636363633,0.1145493125233637,425.79435009693634,3.5456141286689413,120.20301153871762,72.5,-1.0,20260729_005653
AMD,AMD Threadripper 3970X,CPU,CPU package RAPL plus DRAM RAPL when available,1,6,8,8T,0.0158110545078125,2.7522819062500004,0.043514988448668,831.9138501983839,4.779129429783547,174.470261516155,74.0,-1.0,20260729_005653
AMD,AMD Threadripper 3970X,CPU,CPU package RAPL plus DRAM RAPL when available,1,6,10,10T,0.0127182030886075,2.6124289873417723,0.0332356497817411,1034.213563685023,5.0351074241062665,205.3453861073975,78.5,-1.0,20260729_005653
AMD,AMD Threadripper 3970X,CPU,CPU package RAPL plus DRAM RAPL when available,1,6,16,16T,0.0085933507288135,2.2469054279661016,0.019312404338775,1530.641390628768,5.853979299497102,261.26642625738475,81.0,-1.0,20260729_005653
AMD,AMD Threadripper 3970X,CPU,CPU package RAPL plus DRAM RAPL when available,1,6,20,20T,0.0071383521595744,2.046360163120568,0.0146105661975172,1842.6297327283653,6.42767513699015,286.815894424592,83.0,-1.0,20260729_005653
AMD,AMD Threadripper 3970X,CPU,CPU package RAPL plus DRAM RAPL when available,1,6,32,32T,0.0056583528483146,1.5222592050561796,0.008615682157509,2324.5876874641617,8.640669438469253,269.04499448311805,66.0,-1.0,20260729_005653
AMD,AMD Threadripper 3970X,CPU,CPU package RAPL plus DRAM RAPL when available,1,6,64,64T,0.0058230823208092,1.4377948554913296,0.0083725151444079,2258.827676150926,9.148271257520864,246.90236747082184,70.0,-1.0,20260729_005653
AMD,AMD Threadripper 3970X,CPU,CPU package RAPL plus DRAM RAPL when available,2,1,1,1T,0.0581754355,4.503310111111111,0.2620550572325058,127.18000741987368,1.6429588321565007,77.3917971954788,74.0,-1.0,20260729_005653
AMD,AMD Threadripper 3970X,CPU,CPU package RAPL plus DRAM RAPL when available,2,1,2,2T,0.0291469461714285,2.8184037,0.0820693290249946,253.8431372169073,2.6251570246299734,96.68773945851576,76.0,-1.0,20260729_005653
AMD,AMD Threadripper 3970X,CPU,CPU package RAPL plus DRAM RAPL when available,2,1,4,4T,0.0146634432647058,1.9706547279411764,0.0289051390724505,504.5747133164559,3.754626698312349,134.10362959015822,75.5,-1.0,20260729_005653
AMD,AMD Threadripper 3970X,CPU,CPU package RAPL plus DRAM RAPL when available,2,1,8,8T,0.0072094708260869,1.4366013985507249,0.0103564958951563,1026.254604589427,5.15017756029218,199.31928031793257,78.0,-1.0,20260729_005653
AMD,AMD Threadripper 3970X,CPU,CPU package RAPL plus DRAM RAPL when available,2,1,10,10T,0.0058883297836257,1.3501878713450293,0.0079558098712778,1256.5115183729167,5.479794864883722,229.27501709450056,83.0,-1.0,20260729_005653
AMD,AMD Threadripper 3970X,CPU,CPU package RAPL plus DRAM RAPL when available,2,1,16,16T,0.0037809882164179,1.0841876492537312,0.00409954863557,1956.8338850038224,6.824239243209224,286.7335568751868,86.0,-1.0,20260729_005653
AMD,AMD Threadripper 3970X,CPU,CPU package RAPL plus DRAM RAPL when available,2,1,20,20T,0.0031185019617737,0.8949713119266055,0.0027909710996863,2372.535218113012,8.267031149217619,286.9849694569715,77.5,-1.0,20260729_005653
AMD,AMD Threadripper 3970X,CPU,CPU package RAPL plus DRAM RAPL when available,2,1,32,32T,0.0022006381847826,0.5801744380434782,0.0012765260969764,3362.0956995152737,12.752664451420518,263.848170125618,67.0,-1.0,20260729_005653
AMD,AMD Threadripper 3970X,CPU,CPU package RAPL plus DRAM RAPL when available,2,1,64,64T,0.0022079526612554,0.5890114761904761,0.0013004936858841,3350.9561422257752,12.561305019544712,266.68041887907714,70.0,-1.0,20260729_005653
AMD,AMD Threadripper 3970X,CPU,CPU package RAPL plus DRAM RAPL when available,2,2,1,1T,0.0337962657833333,2.5258530500000003,0.0853674391548843,109.46110151336194,1.4646054486008,74.81492143072094,71.5,-1.0,20260729_005653
