platform,platform_label,device_kind,energy_domain,session_number,problem_size,configuration,num_threads,runtime_s,energy_j,power_w,throughput_gflops,efficiency_gflop_per_j,edp_j_s,temperature_c,clock_mhz,reported_throughput_gflops,throughput_normalization_delta_pct,policy,optimized_metric,selection_status,leader_configurations
AMD,AMD CPU,CPU,CPU package RAPL,2,512,16T,16,0.0003210643998746,0.0675389177373864,210.30151909100184,836.0797899263961,3.974530019029408,2.168275909047525e-05,77.0,2369.0,836.079790820194,1.0690341945007731e-07,edp_opt,edp_j_s,tie_or_uncertain,"8T,16T"
AMD,AMD CPU,CPU,CPU package RAPL,3,512,16T,16,0.000330853602115,0.0683055305684071,206.38006839406,811.3420989948771,3.929922712937064,2.259273113198905e-05,75.5,2371.0,811.342099111431,1.4365575395913766e-08,edp_opt,edp_j_s,tie_or_uncertain,"8T,16T"
AMD,AMD CPU,CPU,CPU package RAPL,4,512,16T,16,0.0003125081148564,0.0663010816167291,212.14487167008477,858.9711538317916,4.048734190367542,2.07185034281708e-05,77.0,2375.5,858.971164966466,1.2962803497273967e-06,edp_opt,edp_j_s,tie_or_uncertain,"8T,16T"
AMD,AMD CPU,CPU,CPU package RAPL,5,512,16T,16,0.0003268417207792,0.0676380974025974,206.99490834316776,821.3010730699931,3.9687020526643573,2.209972125114337e-05,74.5,2344.5,821.3011386679344,7.987076044990715e-06,edp_opt,edp_j_s,tie_or_uncertain,"8T,16T"
AMD,AMD CPU,CPU,CPU package RAPL,1,512,16T,16,0.0002918957489878,0.0636516237709658,217.91121082468092,919.6278360710882,4.217260143525904,1.857615111089364e-05,79.0,2338.0,919.6278361216896,5.502376332344738e-09,throughput_opt,throughput_gflops,tie_or_uncertain,"8T,16T,20T,32T"
AMD,AMD CPU,CPU,CPU package RAPL,2,512,16T,16,0.0003210643998746,0.0675389177373864,210.30151909100184,836.0797899263961,3.974530019029408,2.168275909047525e-05,77.0,2369.0,836.079790820194,1.0690341945007731e-07,throughput_opt,throughput_gflops,tie_or_uncertain,"8T,16T,20T,32T"
AMD,AMD CPU,CPU,CPU package RAPL,3,512,16T,16,0.000330853602115,0.0683055305684071,206.38006839406,811.3420989948771,3.929922712937064,2.259273113198905e-05,75.5,2371.0,811.342099111431,1.4365575395913766e-08,throughput_opt,throughput_gflops,tie_or_uncertain,"8T,16T,20T,32T"
AMD,AMD CPU,CPU,CPU package RAPL,4,512,16T,16,0.0003125081148564,0.0663010816167291,212.14487167008477,858.9711538317916,4.048734190367542,2.07185034281708e-05,77.0,2375.5,858.971164966466,1.2962803497273967e-06,throughput_opt,throughput_gflops,tie_or_uncertain,"8T,16T,20T,32T"
AMD,AMD CPU,CPU,CPU package RAPL,5,512,16T,16,0.0003268417207792,0.0676380974025974,206.99490834316776,821.3010730699931,3.9687020526643573,2.209972125114337e-05,74.5,2344.5,821.3011386679344,7.987076044990715e-06,throughput_opt,throughput_gflops,tie_or_uncertain,"8T,16T,20T,32T"
AMD,AMD CPU,CPU,CPU package RAPL,1,512,16T,16,0.0002918957489878,0.0636516237709658,217.91121082468092,919.6278360710882,4.217260143525904,1.857615111089364e-05,79.0,2338.0,919.6278361216896,5.502376332344738e-09,efficiency_opt,efficiency_gflop_per_j,tie_or_uncertain,"8T,16T"
AMD,AMD CPU,CPU,CPU package RAPL,2,512,16T,16,0.0003210643998746,0.0675389177373864,210.30151909100184,836.0797899263961,3.974530019029408,2.168275909047525e-05,77.0,2369.0,836.079790820194,1.0690341945007731e-07,efficiency_opt,efficiency_gflop_per_j,tie_or_uncertain,"8T,16T"
AMD,AMD CPU,CPU,CPU package RAPL,3,512,16T,16,0.000330853602115,0.0683055305684071,206.38006839406,811.3420989948771,3.929922712937064,2.259273113198905e-05,75.5,2371.0,811.342099111431,1.4365575395913766e-08,efficiency_opt,efficiency_gflop_per_j,tie_or_uncertain,"8T,16T"
AMD,AMD CPU,CPU,CPU package RAPL,4,512,16T,16,0.0003125081148564,0.0663010816167291,212.14487167008477,858.9711538317916,4.048734190367542,2.07185034281708e-05,77.0,2375.5,858.971164966466,1.2962803497273967e-06,efficiency_opt,efficiency_gflop_per_j,tie_or_uncertain,"8T,16T"
AMD,AMD CPU,CPU,CPU package RAPL,5,512,16T,16,0.0003268417207792,0.0676380974025974,206.99490834316776,821.3010730699931,3.9687020526643573,2.209972125114337e-05,74.5,2344.5,821.3011386679344,7.987076044990715e-06,efficiency_opt,efficiency_gflop_per_j,tie_or_uncertain,"8T,16T"
AMD,AMD CPU,CPU,CPU package RAPL,1,1024,16T,16,0.0018604453703703,0.4429525953703703,238.12725856244035,1154.284711715329,4.8481116725468185,0.0008238288951096,80.5,2335.0,1154.2847123468637,5.471221253827707e-08,energy_opt,energy_j,clear_leader,16T
AMD,AMD CPU,CPU,CPU package RAPL,2,1024,16T,16,0.0018885992509363,0.4461501058052434,236.1767458932333,1137.0774646528926,4.813365770975374,0.0008427288228742,80.0,2368.0,1137.0774721700664,6.610960223696338e-07,energy_opt,energy_j,clear_leader,16T
AMD,AMD CPU,CPU,CPU package RAPL,3,1024,16T,16,0.0019166435361216,0.4515001606463878,234.88894967749215,1120.4397727213864,4.756329753959703,0.000863629102553,82.0,2362.0,1120.4398014740943,2.5661984315306086e-06,energy_opt,energy_j,clear_leader,16T
AMD,AMD CPU,CPU,CPU package RAPL,4,1024,16T,16,0.0018749255514705,0.4433394209558823,236.511590524279,1145.3700901967725,4.8438815645354065,0.0008314016702992,78.5,2358.5,1145.3701413265724,4.464041825080756e-06,energy_opt,energy_j,clear_leader,16T
AMD,AMD CPU,CPU,CPU package RAPL,5,1024,16T,16,0.0018773803738317,0.4434588682242991,236.19859088495195,1143.872428801961,4.842576847316118,0.0008324638580854,80.0,2337.5,1143.8728838516777,3.978150930894486e-05,energy_opt,energy_j,clear_leader,16T
AMD,AMD CPU,CPU,CPU package RAPL,1,1024,32T,32,0.0016064703525641,0.4585569022435898,285.3903735643719,1336.7714160254402,4.683134497579181,0.0007362971577095,72.0,2925.0,1336.7714311137884,1.1287156542749699e-06,runtime_opt,runtime_s,tie_or_uncertain,"32T,64T"
AMD,AMD CPU,CPU,CPU package RAPL,2,1024,32T,32,0.0016052744,0.4598089488,285.9666256243796,1337.767329996666,4.6703824568974985,0.0007378120717038,75.5,2938.0,1337.7673406422152,7.957698722194095e-07,runtime_opt,runtime_s,tie_or_uncertain,"32T,64T"
AMD,AMD CPU,CPU,CPU package RAPL,3,1024,32T,32,0.0017910196428571,0.4866835678571428,271.8211382805725,1199.0285291200132,4.412484394029007,0.0008717435754872,76.0,2920.0,1199.028531533654,2.012996880296214e-07,runtime_opt,runtime_s,tie_or_uncertain,"32T,64T"
AMD,AMD CPU,CPU,CPU package RAPL,4,1024,32T,32,0.001594576433121,0.4573614785031847,286.7336435881711,1346.7423720773404,4.695374990976742,0.0007291907057415,74.5,2945.0,1346.742405180821,2.458041059583138e-06,runtime_opt,runtime_s,tie_or_uncertain,"32T,64T"
AMD,AMD CPU,CPU,CPU package RAPL,5,1024,32T,32,0.0016241653160453,0.4598204902755267,282.89777238475915,1322.2075528794903,4.67026523048857,0.0007462383184418,73.0,2946.5,1322.207594128611,3.1197159966467325e-06,runtime_opt,runtime_s,tie_or_uncertain,"32T,64T"
AMD,AMD CPU,CPU,CPU package RAPL,1,1024,32T,32,0.0016064703525641,0.4585569022435898,285.3903735643719,1336.7714160254402,4.683134497579181,0.0007362971577095,72.0,2925.0,1336.7714311137884,1.1287156542749699e-06,edp_opt,edp_j_s,tie_or_uncertain,"16T,20T,32T,64T"
AMD,AMD CPU,CPU,CPU package RAPL,2,1024,32T,32,0.0016052744,0.4598089488,285.9666256243796,1337.767329996666,4.6703824568974985,0.0007378120717038,75.5,2938.0,1337.7673406422152,7.957698722194095e-07,edp_opt,edp_j_s,tie_or_uncertain,"16T,20T,32T,64T"
AMD,AMD CPU,CPU,CPU package RAPL,3,1024,32T,32,0.0017910196428571,0.4866835678571428,271.8211382805725,1199.0285291200132,4.412484394029007,0.0008717435754872,76.0,2920.0,1199.028531533654,2.012996880296214e-07,edp_opt,edp_j_s,tie_or_uncertain,"16T,20T,32T,64T"
AMD,AMD CPU,CPU,CPU package RAPL,4,1024,32T,32,0.001594576433121,0.4573614785031847,286.7336435881711,1346.7423720773404,4.695374990976742,0.0007291907057415,74.5,2945.0,1346.742405180821,2.458041059583138e-06,edp_opt,edp_j_s,tie_or_uncertain,"16T,20T,32T,64T"
AMD,AMD CPU,CPU,CPU package RAPL,5,1024,32T,32,0.0016241653160453,0.4598204902755267,282.89777238475915,1322.2075528794903,4.67026523048857,0.0007462383184418,73.0,2946.5,1322.207594128611,3.1197159966467325e-06,edp_opt,edp_j_s,tie_or_uncertain,"16T,20T,32T,64T"
AMD,AMD CPU,CPU,CPU package RAPL,1,1024,32T,32,0.0016064703525641,0.4585569022435898,285.3903735643719,1336.7714160254402,4.683134497579181,0.0007362971577095,72.0,2925.0,1336.7714311137884,1.1287156542749699e-06,throughput_opt,throughput_gflops,tie_or_uncertain,"32T,64T"
AMD,AMD CPU,CPU,CPU package RAPL,2,1024,32T,32,0.0016052744,0.4598089488,285.9666256243796,1337.767329996666,4.6703824568974985,0.0007378120717038,75.5,2938.0,1337.7673406422152,7.957698722194095e-07,throughput_opt,throughput_gflops,tie_or_uncertain,"32T,64T"
AMD,AMD CPU,CPU,CPU package RAPL,3,1024,32T,32,0.0017910196428571,0.4866835678571428,271.8211382805725,1199.0285291200132,4.412484394029007,0.0008717435754872,76.0,2920.0,1199.028531533654,2.012996880296214e-07,throughput_opt,throughput_gflops,tie_or_uncertain,"32T,64T"
AMD,AMD CPU,CPU,CPU package RAPL,4,1024,32T,32,0.001594576433121,0.4573614785031847,286.7336435881711,1346.7423720773404,4.695374990976742,0.0007291907057415,74.5,2945.0,1346.742405180821,2.458041059583138e-06,throughput_opt,throughput_gflops,tie_or_uncertain,"32T,64T"
AMD,AMD CPU,CPU,CPU package RAPL,5,1024,32T,32,0.0016241653160453,0.4598204902755267,282.89777238475915,1322.2075528794903,4.67026523048857,0.0007462383184418,73.0,2946.5,1322.207594128611,3.1197159966467325e-06,throughput_opt,throughput_gflops,tie_or_uncertain,"32T,64T"
AMD,AMD CPU,CPU,CPU package RAPL,1,1024,16T,16,0.0018604453703703,0.4429525953703703,238.12725856244035,1154.284711715329,4.8481116725468185,0.0008238288951096,80.5,2335.0,1154.2847123468637,5.471221253827707e-08,efficiency_opt,efficiency_gflop_per_j,clear_leader,16T
AMD,AMD CPU,CPU,CPU package RAPL,2,1024,16T,16,0.0018885992509363,0.4461501058052434,236.1767458932333,1137.0774646528926,4.813365770975374,0.0008427288228742,80.0,2368.0,1137.0774721700664,6.610960223696338e-07,efficiency_opt,efficiency_gflop_per_j,clear_leader,16T
AMD,AMD CPU,CPU,CPU package RAPL,3,1024,16T,16,0.0019166435361216,0.4515001606463878,234.88894967749215,1120.4397727213864,4.756329753959703,0.000863629102553,82.0,2362.0,1120.4398014740943,2.5661984315306086e-06,efficiency_opt,efficiency_gflop_per_j,clear_leader,16T
AMD,AMD CPU,CPU,CPU package RAPL,4,1024,16T,16,0.0018749255514705,0.4433394209558823,236.511590524279,1145.3700901967725,4.8438815645354065,0.0008314016702992,78.5,2358.5,1145.3701413265724,4.464041825080756e-06,efficiency_opt,efficiency_gflop_per_j,clear_leader,16T
AMD,AMD CPU,CPU,CPU package RAPL,5,1024,16T,16,0.0018773803738317,0.4434588682242991,236.19859088495195,1143.872428801961,4.842576847316118,0.0008324638580854,80.0,2337.5,1143.8728838516777,3.978150930894486e-05,efficiency_opt,efficiency_gflop_per_j,clear_leader,16T
AMD,AMD CPU,CPU,CPU package RAPL,1,2048,64T,64,0.0084357058823529,1.9985477773109244,236.7445798640632,2036.5656915492368,8.596176373184218,0.0168591616146213,69.0,3624.5,2036.565735220547,2.1443604891757673e-06,energy_opt,energy_j,clear_leader,64T
AMD,AMD CPU,CPU,CPU package RAPL,2,2048,64T,64,0.0083304173553719,1.998782991735537,239.40705085230888,2062.305938720045,8.59516478528906,0.0166475496378321,65.0,3650.0,2062.305988433909,2.4105959672837685e-06,energy_opt,energy_j,clear_leader,64T
AMD,AMD CPU,CPU,CPU package RAPL,3,2048,64T,64,0.0081551048387096,1.9723544717741937,241.89555834955743,2106.6398928990848,8.71033550503028,0.0160820759308007,64.0,3647.0,2106.6398929011248,9.683365220780615e-11,energy_opt,energy_j,clear_leader,64T
AMD,AMD CPU,CPU,CPU package RAPL,4,2048,64T,64,0.0082813305785123,1.999129326446281,241.25185126406083,2074.5300554209102,8.593675735095893,0.0165557735243469,66.5,3648.5,2074.5300555221243,4.878897286175743e-09,energy_opt,energy_j,clear_leader,64T
